date,product,interval_min,num_files,num_missing,missing_overpasses
2020-09-28,VNP14IMG,6,240,0,
2020-09-29,VNP14IMG,6,240,0,
2020-09-30,VNP14IMG,6,240,0,
2020-10-01,VNP14IMG,6,240,0,
2020-10-02,VNP14IMG,6,240,0,
2020-10-03,VNP14IMG,6,240,0,
2020-10-04,VNP14IMG,6,240,0,
2020-10-05,VNP14IMG,6,240,0,
2020-10-06,VNP14IMG,6,240,0,
2020-10-07,VNP14IMG,6,240,0,
2020-10-08,VNP14IMG,6,240,0,
2020-10-09,VNP14IMG,6,240,0,
2020-10-10,VNP14IMG,6,240,0,
2020-10-11,VNP14IMG,6,240,0,
2020-10-12,VNP14IMG,6,240,0,
2020-10-13,VNP14IMG,6,240,0,
2020-10-14,VNP14IMG,6,240,0,
2020-10-15,VNP14IMG,6,240,0,
2020-10-16,VNP14IMG,6,240,0,
2020-10-17,VNP14IMG,6,240,0,
2020-10-18,VNP14IMG,6,240,0,
2020-10-19,VNP14IMG,6,240,0,
2020-10-20,VNP14IMG,6,240,0,
2020-10-21,VNP14IMG,6,240,0,
2020-10-22,VNP14IMG,6,240,0,
2020-10-23,VNP14IMG,6,240,0,
2020-10-24,VNP14IMG,6,240,0,
2020-10-25,VNP14IMG,6,240,0,
2020-10-26,VNP14IMG,6,240,0,
2020-10-27,VNP14IMG,6,240,0,
2020-10-28,VNP14IMG,6,240,0,
2020-10-29,VNP14IMG,6,240,0,
2020-10-30,VNP14IMG,6,240,0,
2020-10-31,VNP14IMG,6,240,0,
2020-11-01,VNP14IMG,6,240,0,
2020-11-02,VNP14IMG,6,240,0,
2020-11-03,VNP14IMG,6,240,0,
2020-11-04,VNP14IMG,6,240,0,
2020-11-05,VNP14IMG,6,240,0,
2020-11-06,VNP14IMG,6,240,0,
2020-11-07,VNP14IMG,6,240,0,
2020-11-08,VNP14IMG,6,240,0,
2020-11-09,VNP14IMG,6,240,0,
2020-11-10,VNP14IMG,6,240,0,
2020-11-11,VNP14IMG,6,240,0,
2020-11-12,VNP14IMG,6,240,0,
2020-11-13,VNP14IMG,6,240,0,
2020-11-14,VNP14IMG,6,240,0,
2020-11-15,VNP14IMG,6,240,0,
2020-11-16,VNP14IMG,6,240,0,
2020-11-17,VNP14IMG,6,240,0,
2020-11-18,VNP14IMG,6,240,0,
2020-11-19,VNP14IMG,6,240,0,
2020-11-20,VNP14IMG,6,240,0,
2020-11-21,VNP14IMG,6,240,0,
2020-11-22,VNP14IMG,6,240,0,
2020-11-23,VNP14IMG,6,240,0,
2020-11-24,VNP14IMG,6,240,0,
2020-11-25,VNP14IMG,6,239,1,1554
2020-11-26,VNP14IMG,6,240,0,
2020-11-27,VNP14IMG,6,240,0,
2020-11-28,VNP14IMG,6,240,0,
2020-11-29,VNP14IMG,6,240,0,
2020-11-30,VNP14IMG,6,240,0,
2020-12-01,VNP14IMG,6,240,0,
2020-12-02,VNP14IMG,6,240,0,
2020-12-03,VNP14IMG,6,240,0,
2020-12-04,VNP14IMG,6,240,0,
2020-12-05,VNP14IMG,6,240,0,
2020-12-06,VNP14IMG,6,240,0,
2020-12-07,VNP14IMG,6,240,0,
2020-12-08,VNP14IMG,6,240,0,
2020-12-09,VNP14IMG,6,240,0,
2020-12-10,VNP14IMG,6,237,3,1654 1700 1706
2020-12-11,VNP14IMG,6,240,0,
2020-12-12,VNP14IMG,6,240,0,
2020-12-13,VNP14IMG,6,240,0,
2020-12-14,VNP14IMG,6,240,0,
2020-12-15,VNP14IMG,6,240,0,
2020-12-16,VNP14IMG,6,240,0,
2020-12-17,VNP14IMG,6,240,0,
2020-12-18,VNP14IMG,6,240,0,
2020-12-19,VNP14IMG,6,240,0,
2020-12-20,VNP14IMG,6,240,0,
2020-12-21,VNP14IMG,6,240,0,
2020-12-22,VNP14IMG,6,240,0,
2020-12-23,VNP14IMG,6,240,0,
2020-12-24,VNP14IMG,6,240,0,
2020-12-25,VNP14IMG,6,239,1,1118
2020-12-26,VNP14IMG,6,240,0,
2020-12-27,VNP14IMG,6,240,0,
2020-12-28,VNP14IMG,6,240,0,
2020-12-29,VNP14IMG,6,240,0,
2020-12-30,VNP14IMG,6,240,0,
2020-12-31,VNP14IMG,6,240,0,
