date,yyyy_mm,day,product,theory,infor,present,missing_vs_theory,missing_vs_infor
2020-06-30,2020-06,30,VNP14IMG,240,240,240,0,0
2020-07-01,2020-07,1,VNP14IMG,240,240,240,0,0
2020-07-02,2020-07,2,VNP14IMG,240,240,240,0,0
2020-07-03,2020-07,3,VNP14IMG,240,240,240,0,0
2020-07-04,2020-07,4,VNP14IMG,240,240,240,0,0
2020-07-05,2020-07,5,VNP14IMG,240,240,240,0,0
2020-07-06,2020-07,6,VNP14IMG,240,240,240,0,0
2020-07-07,2020-07,7,VNP14IMG,240,240,240,0,0
2020-07-08,2020-07,8,VNP14IMG,240,240,240,0,0
2020-07-09,2020-07,9,VNP14IMG,240,240,240,0,0
2020-07-10,2020-07,10,VNP14IMG,240,240,240,0,0
2020-07-11,2020-07,11,VNP14IMG,240,240,240,0,0
2020-07-12,2020-07,12,VNP14IMG,240,240,240,0,0
2020-07-13,2020-07,13,VNP14IMG,240,240,240,0,0
2020-07-14,2020-07,14,VNP14IMG,240,240,240,0,0
2020-07-15,2020-07,15,VNP14IMG,240,240,240,0,0
2020-07-16,2020-07,16,VNP14IMG,240,240,240,0,0
2020-07-17,2020-07,17,VNP14IMG,240,240,240,0,0
2020-07-18,2020-07,18,VNP14IMG,240,240,240,0,0
2020-07-19,2020-07,19,VNP14IMG,240,240,240,0,0
2020-07-20,2020-07,20,VNP14IMG,240,240,240,0,0
2020-07-21,2020-07,21,VNP14IMG,240,240,240,0,0
2020-07-22,2020-07,22,VNP14IMG,240,240,240,0,0
2020-07-23,2020-07,23,VNP14IMG,240,240,240,0,0
2020-07-24,2020-07,24,VNP14IMG,240,240,240,0,0
2020-07-25,2020-07,25,VNP14IMG,240,240,240,0,0
2020-07-26,2020-07,26,VNP14IMG,240,240,240,0,0
2020-07-27,2020-07,27,VNP14IMG,240,240,240,0,0
2020-07-28,2020-07,28,VNP14IMG,240,240,240,0,0
2020-07-29,2020-07,29,VNP14IMG,240,240,240,0,0
2020-07-30,2020-07,30,VNP14IMG,240,240,240,0,0
2020-07-31,2020-07,31,VNP14IMG,240,240,240,0,0
2020-08-01,2020-08,1,VNP14IMG,240,240,240,0,0
2020-08-02,2020-08,2,VNP14IMG,240,240,240,0,0
2020-08-03,2020-08,3,VNP14IMG,240,240,240,0,0
2020-08-04,2020-08,4,VNP14IMG,240,240,240,0,0
2020-08-05,2020-08,5,VNP14IMG,240,240,240,0,0
2020-08-06,2020-08,6,VNP14IMG,240,240,240,0,0
2020-08-07,2020-08,7,VNP14IMG,240,240,240,0,0
2020-08-08,2020-08,8,VNP14IMG,240,240,240,0,0
2020-08-09,2020-08,9,VNP14IMG,240,240,240,0,0
2020-08-10,2020-08,10,VNP14IMG,240,240,240,0,0
2020-08-11,2020-08,11,VNP14IMG,240,240,240,0,0
2020-08-12,2020-08,12,VNP14IMG,240,240,240,0,0
2020-08-13,2020-08,13,VNP14IMG,240,240,240,0,0
2020-08-14,2020-08,14,VNP14IMG,240,240,240,0,0
2020-08-15,2020-08,15,VNP14IMG,240,240,240,0,0
2020-08-16,2020-08,16,VNP14IMG,240,240,240,0,0
2020-08-17,2020-08,17,VNP14IMG,240,240,240,0,0
2020-08-18,2020-08,18,VNP14IMG,240,240,240,0,0
2020-08-19,2020-08,19,VNP14IMG,240,240,240,0,0
2020-08-20,2020-08,20,VNP14IMG,240,240,240,0,0
2020-08-21,2020-08,21,VNP14IMG,240,240,240,0,0
2020-08-22,2020-08,22,VNP14IMG,240,240,240,0,0
2020-08-23,2020-08,23,VNP14IMG,240,240,240,0,0
2020-08-24,2020-08,24,VNP14IMG,240,240,240,0,0
2020-08-25,2020-08,25,VNP14IMG,240,240,240,0,0
2020-08-26,2020-08,26,VNP14IMG,240,240,240,0,0
2020-08-27,2020-08,27,VNP14IMG,240,240,240,0,0
2020-08-28,2020-08,28,VNP14IMG,240,240,240,0,0
2020-08-29,2020-08,29,VNP14IMG,240,240,240,0,0
2020-08-30,2020-08,30,VNP14IMG,240,240,240,0,0
2020-08-31,2020-08,31,VNP14IMG,240,240,240,0,0
2020-09-01,2020-09,1,VNP14IMG,240,240,240,0,0
2020-09-02,2020-09,2,VNP14IMG,240,240,240,0,0
2020-09-03,2020-09,3,VNP14IMG,240,240,240,0,0
2020-09-04,2020-09,4,VNP14IMG,240,240,240,0,0
2020-09-05,2020-09,5,VNP14IMG,240,240,240,0,0
2020-09-06,2020-09,6,VNP14IMG,240,240,240,0,0
2020-09-07,2020-09,7,VNP14IMG,240,240,240,0,0
2020-09-08,2020-09,8,VNP14IMG,240,240,240,0,0
2020-09-09,2020-09,9,VNP14IMG,240,240,240,0,0
2020-09-10,2020-09,10,VNP14IMG,240,240,240,0,0
2020-09-11,2020-09,11,VNP14IMG,240,240,240,0,0
2020-09-12,2020-09,12,VNP14IMG,240,240,240,0,0
2020-09-13,2020-09,13,VNP14IMG,240,240,240,0,0
2020-09-14,2020-09,14,VNP14IMG,240,240,240,0,0
2020-09-15,2020-09,15,VNP14IMG,240,240,240,0,0
2020-09-16,2020-09,16,VNP14IMG,240,240,240,0,0
2020-09-17,2020-09,17,VNP14IMG,240,240,240,0,0
2020-09-18,2020-09,18,VNP14IMG,240,240,240,0,0
2020-09-19,2020-09,19,VNP14IMG,240,240,240,0,0
2020-09-20,2020-09,20,VNP14IMG,240,240,240,0,0
2020-09-21,2020-09,21,VNP14IMG,240,240,240,0,0
2020-09-22,2020-09,22,VNP14IMG,240,240,240,0,0
